Index,City,Country,Latitude,Longitude,Temperature (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Kapaa,United States,22.0947394,-159.3245926,74.44,82,74,5.01
1,Bagdarin,Russia,54.4479459,113.5909765,60.62,65,100,4.05
2,Hobart,Australia,-42.8826055,147.3257196,53.35,77,40,13.8
3,Grand River South East,Mauritius,-20.2888094,57.78141199999999,73.78,68,75,12.66
4,Grindavik,Iceland,63.8441808,-22.4383818,50.32,100,100,17.27
5,Vaitupu,Wallis and Futuna,-13.2308863,-176.1917035,82.85,72,95,15.48
6,Bermeo,Spain,43.4188248,-2.7269756,82.78,61,20,14.97
7,Port Hardy,Canada,50.7207083,-127.4968729,51.75,87,100,2.3
8,Ostrovnoy,Russia,68.0603191,39.4740385,42.19,97,100,8.52
9,Rikitea,French Polynesia,-23.1223034,-134.9691543,72.41,73,100,13.51
10,Mataura,French Polynesia,-23.347523,-149.4860498,72.32,58,51,14.85
11,Tiarei,French Polynesia,-17.5391608,-149.3714069,73.42,72,30,24.9
12,Prince Rupert,Canada,54.3150367,-130.3208187,48.09,98,100,4.61
13,Nola,Central African Republic,3.5248736,16.0463837,84.85,55,62,4.45
14,Atuona,French Polynesia,-9.8028605,-139.0398069,78.17,74,46,17.18
15,Torbay,Canada,47.6580777,-52.7355238,63.43,78,75,23.02
16,Vaini,Tonga,-21.1935,-175.1751534,77.25,88,75,8.05
17,Ushuaia,Argentina,-54.8019121,-68.3029511,29.82,74,75,3.44
18,Taolanaro,Madagascar,-25.0225309,46.9853688,67.96,77,75,13.8
19,Ilulissat,Greenland,69.2198118,-51.0986032,38.46,66,88,7.27
20,Puerto Ayora,Ecuador,-0.7432918,-90.3156893,69.98,98,88,5.01
21,Piacabucu,Brazil,-10.405923,-36.431617,80.2,73,5,5.59
22,Andenes,Norway,69.31607989999999,16.1202284,50.02,87,75,11.5
23,Sao Filipe,Cape Verde,14.8951679,-24.4945636,74.44,88,54,6.04
24,Attawapiskat,Canada,52.9258846,-82.42889219999999,51.78,62,75,4.61
25,Busselton,Australia,-33.6516465,115.3473335,59.02,70,100,5.3
26,Hermanus,South Africa,-34.4092004,19.2504436,60.91,66,75,3.85
27,Pacific Grove,United States,36.6177374,-121.9166215,47.75,87,5,1.01
28,Esperance,Australia,-33.8613953,121.8912724,53.35,69,98,17.63
29,Abay,Kazakhstan,49.6324398,72.8771916,86.38,26,41,4.34
30,Punta Arenas,Chile,-53.1638329,-70.9170683,35.8,80,75,19.57
31,Bambous Virieux,Mauritius,-20.3438619,57.7636821,73.36,68,75,12.66
32,Vardo,Norway,70.3705875,31.1094377,42.87,93,100,11.5
33,Saskylakh,Russia,71.954308,114.119835,40.5,56,14,15.35
34,Hilo,United States,19.7216023,-155.084887,70.07,80,75,8.05
35,Thompson,Canada,55.7449251,-97.8508715,61.02,72,75,2.3
36,Tasiilaq,Greenland,65.6134561,-37.6335696,42.51,76,43,1.36
37,Ilinsko-Podomskoye,Russia,61.1160006,47.9670929,62.28,55,100,4.12
38,Tongren,China,27.7315599,109.18962,74.03,97,100,1.72
39,Kuche,China,41.7173737,82.9621102,80.53,23,100,18.3
40,Pop,Uzbekistan,40.8814636,71.1032591,91.69,24,48,10.09
41,Castro,Chile,-42.4801402,-73.7624137,33.91,93,0,3.44
42,Dikson,Russia,73.507735,80.53103019999999,38.35,75,100,10.36
43,Blackwater,Australia,-23.5745988,148.887168,56.82,71,19,6.31
44,Hervey Bay,Australia,-25.2881539,152.7676633,60.15,89,13,7
45,Jamestown,"Saint Helena, Ascension and Tristan da Cunha",-15.9286343,-5.7151749,69.33,66,98,21.45
46,Ponta Delgada,Portugal,37.7394207,-25.6686725,68.72,64,40,16.11
47,Okhansk,Russia,57.71667189999999,55.3972152,68.02,58,50,7.38
48,Bredasdorp,South Africa,-34.5385222,20.0568771,59.14,62,84,7.92
49,Constitucion,Chile,-35.33330000000001,-72.41669999999999,51.19,57,100,3.53
50,Qaanaaq,Greenland,77.4670434,-69.2284828,35.08,85,41,6.46
51,Marechal Floriano,Brazil,-20.4113507,-40.6760342,67.51,90,93,4.74
52,Albany,Australia,-35.0268148,117.8837114,55.96,69,90,11.95
53,Kavaratti,India,10.5593204,72.63581340000002,82.53,75,100,13.27
54,Lorengau,Papua New Guinea,-2.0298424,147.2743657,80.51,73,14,5.95
55,Namibe,Angola,-15.1978317,12.1575544,68.52,64,75,18.41
56,Bluff,New Zealand,-46.597299,168.3302209,47.28,77,100,9.51
57,Yulara,Australia,-25.237979,130.9856199,63.75,29,100,5.95
58,Umm Kaddadah,Sudan,13.60375,26.68413,98.17,12,100,6.38
59,Adrar,Algeria,28.0174403,-0.2642497,109.6,6,0,3.71
60,Padang,Indonesia,-0.9470831999999999,100.417181,74.71,92,100,1.25
61,Meulaboh,Indonesia,4.1436951,96.12811459999999,77.88,84,100,4.54
62,Valeni,Romania,46.7464101,27.7624971,81.3,35,0,4.5
63,Pierre,United States,44.36678759999999,-100.3537522,81.95,55,6,20
64,Airai,Palau,7.396611799999999,134.5690225,81.57,73,87,3.56
65,Dunedin,New Zealand,-45.8795455,170.5005957,44.78,87,100,10.07
66,Boueni,Mayotte,-12.9102083,45.0806283,82.18,72,13,12.86
67,Martinsburg,United States,39.4562099,-77.96388689999999,62.24,54,0,12.19
68,Pascagoula,United States,30.3657552,-88.5561272,80.82,81,3,7.9
69,A,Norway,67.88056139999999,12.9826433,53.82,77,18,5.91
70,Santo Anastacio,Brazil,-21.9778518,-51.6542973,58.86,62,0,9.19
71,Teknaf,Bangladesh,20.857776,92.29756189999999,79.79,84,100,5.88
72,Tabory,Russia,58.528389,64.5532379,68.11,85,55,5.35
73,Tabas,Iran,33.5961005,56.9278993,105.96,11,0,4.61
74,Sivaki,Russia,52.631082,126.747264,56.48,76,6,5.61
75,Clyde River,Canada,70.47636500000002,-68.601265,44.58,61,20,16.11
76,Whitehorse,Canada,60.7211871,-135.0568449,49.19,57,40,11.99
77,Lebu,Chile,-37.6080479,-73.6514907,49.37,88,100,10.49
78,Hithadhoo,Maldives,-0.6094628,73.0907,83.89,66,100,4.7
